URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_300_V_TC_46/4360,3377,287,222/pct:40/0/default.jpg",,,,,271,300 V,4360,3377,287,222,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_113_TC_46/1977,5872,267,192/pct:40/0/default.jpg",,,,,51,113,1977,5872,267,192,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_030_R_TC_46/2500,2567,385,505/pct:40/0/default.jpg",,,,,22,30 R,2500,2567,385,505,
"https://stacks.stanford.edu/image/iiif/qq824qn0842%2F318_7_TC_46/3407,1615,232,362/pct:40/0/default.jpg",,,,,318,7,3407,1615,232,362,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_165_R_TC_46/2395,542,297,127/pct:40/0/default.jpg",,,,,130,165 R,2395,542,297,127,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_177_V_TC_46/2530,1895,100,155/pct:40/0/default.jpg",,,,,16II,177 V,2530,1895,100,155,
"https://stacks.stanford.edu/image/iiif/kj101dc0788%2F313_065_R_TC_46/2937,1305,62,232/pct:40/0/default.jpg",,,,,313,65 R,2937,1305,62,232,
"https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_002_R_TC_46/1165,3022,130,140/pct:40/0/default.jpg",,,,,317,2 R,1165,3022,130,140,
"https://stacks.stanford.edu/image/iiif/mm597sr5491%2F299_78_R_TC_46/1562,897,150,302/pct:40/0/default.jpg",,,,,299,78 R,1562,897,150,302,
"https://stacks.stanford.edu/image/iiif/vx000hq8392%2F275_21_V_TC_46/2760,1987,187,135/pct:40/0/default.jpg",,,,,275,21 V,2760,1987,187,135,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_252_V_TC_46/3362,4742,205,830/pct:40/0/default.jpg",,,,,45,252 V,3362,4742,205,830,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_267_V_TC_46/1620,2987,682,1022/pct:40/0/default.jpg",,,,,10,267 V,1620,2987,682,1022,
"https://stacks.stanford.edu/image/iiif/mt087kd8953%2F320_141_V_TC_46/950,735,287,467/pct:40/0/default.jpg",,,,,320,141 V,950,735,287,467,
"https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_33_V_TC_46/1475,2372,432,350/pct:40/0/default.jpg",,,,,273,33 V,1475,2372,432,350,
