"","DocID","x","y","w","h","image.width","image.height","perc.x","perc.y","perc.w","perc.h"
"1","dt053nh0820%2F002III_266_R_TC_46",2435,5075,318,928,6199,9840,39.2805291175996,51.5752032520325,5.12985965478303,9.43089430894309
"2","dt053nh0820%2F002III_269_R_TC_46",2583,1830,240,380,6239,9787,41.400865523321,18.698273219577,3.84677031575573,3.88270154286298
"3","dt053nh0820%2F002III_273_V_TC_46",3678,1480,808,395,6024,9720,61.0557768924303,15.2263374485597,13.4130146082337,4.06378600823045
"4","dt053nh0820%2F002III_274_R_TC_46",343,4048,115,390,6207,9756,5.52601901079426,41.4924149241492,1.8527468986628,3.99753997539975
"5","dt053nh0820%2F002III_274_R_TC_46",2390,6110,145,1223,6207,9756,38.5049138069921,62.6281262812628,2.33607217657483,12.5358753587536
"6","dt053nh0820%2F002III_282_R_TC_46",2423,5875,458,423,6104,9838,39.6952817824377,59.7174222402927,7.50327653997379,4.29965440130108
"7","dt053nh0820%2F002III_286_R_TC_46",173,2250,363,398,6256,9705,2.7653452685422,23.1839258114374,5.80242966751918,4.10097887686759
"8","dt053nh0820%2F002III_286_R_TC_46",2478,6823,370,400,6256,9705,39.6099744245524,70.3039670273055,5.91432225063939,4.1215868109222
"9","dt053nh0820%2F002III_286_R_TC_46",2488,4790,393,385,6256,9705,39.769820971867,49.3560020607934,6.28196930946292,3.96702730551262
"10","dt053nh0820%2F002III_289_R_TC_46",2365,2440,398,883,6208,9697,38.0960051546392,25.1624213674332,6.4110824742268,9.10590904403424
"11","dt053nh0820%2F002III_289_R_TC_46",2380,5288,393,380,6208,9697,38.3376288659794,54.53232958647,6.3305412371134,3.91873775394452
"12","dt053nh0820%2F002III_290_R_TC_46",2323,1155,400,373,6196,9689,37.4919302775984,11.9207348539581,6.45577792123951,3.84972649396223
"13","dt053nh0820%2F002III_296_V_TC_46",1513,1598,440,428,6036,9779,25.0662690523526,16.3411391757848,7.28959575878065,4.37672563656816
"14","dt053nh0820%2F002III_296_V_TC_46",1525,5675,458,398,6036,9779,25.2650762094102,58.0325186624399,7.58780649436713,4.06994580222927
"15","dt053nh0820%2F002III_296_V_TC_46",3998,4010,133,870,6036,9779,66.2359178263751,41.0062378566316,2.20344599072233,8.89661519582779
"16","dt053nh0820%2F002III_300_R_TC_46",2358,6233,418,423,6204,9772,38.0077369439072,63.7842816209578,6.73758865248227,4.3286942284077
"17","dt053nh0820%2F002III_304_V_TC_46",3925,6088,443,450,6134,9842,63.9876100423867,61.8573460678724,7.22204108249103,4.57224141434668
"18","dt053nh0820%2F002III_312_R_TC_46",3340,4195,213,213,6204,9776,53.8362346872985,42.9112111292962,3.43326885880077,2.17880523731588
"19","vb856kp8798%2F002II_123_V_TC_46",3770,5003,105,350,6135,9552,61.4506927465363,52.3764656616415,1.71149144254279,3.6641541038526
"20","vb856kp8798%2F002II_137_V_TC_46",1530,3505,515,890,6142,9644,24.910452621296,36.3438407299876,8.3848909150114,9.22853587722937
"21","vb856kp8798%2F002II_138_V_TC_46",1150,6730,225,228,6059,9630,18.9800297078726,69.8857736240914,3.71348407327942,2.36760124610592
"22","vb856kp8798%2F002II_154_R_TC_46",2413,1230,405,413,6162,9447,39.1593638429081,13.0200063512226,6.57254138266797,4.37175823012597
"23","vb856kp8798%2F002II_161_R_TC_46",2453,3845,250,355,5984,9360,40.9926470588235,41.0790598290598,4.17780748663102,3.79273504273504
"24","vb856kp8798%2F002II_172_V_TC_46",3200,1618,293,340,5121,8336,62.4877953524702,19.4097888675624,5.72153876196055,4.07869481765835
"25","zv088kx4487%2F003_075_V_TC_46",3763,2830,330,173,5048,7804,74.5443740095087,36.2634546386468,6.53724247226624,2.21681189133778
"26","zv088kx4487%2F003_075_V_TC_46",3933,4895,315,183,5048,7804,77.9120443740095,62.7242439774475,6.24009508716323,2.34495130702204
"27","zv088kx4487%2F003_126_R_TC_46",2508,2995,103,330,5969,9195,42.0170882894957,32.5720500271887,1.7255821745686,3.58890701468189
"28","zv088kx4487%2F003_137_R_TC_46",2303,4610,280,383,5945,9156,38.7384356602187,50.349497597204,4.70984020185029,4.1830493665356
"29","zv088kx4487%2F003_145_R_TC_46",2270,5883,263,355,5873,9140,38.6514558147454,64.3654266958425,4.47812021113571,3.88402625820569
"30","zv088kx4487%2F003_149_R_TC_46",2250,1150,103,280,5929,9140,37.9490639230899,12.582056892779,1.73722381514589,3.06345733041575
"31","zv088kx4487%2F003_154_R_TC_46",2273,903,210,538,5817,9043,39.0751246346914,9.98562423974345,3.6101083032491,5.94935309078845
"32","zv088kx4487%2F003_154_R_TC_46",2363,4070,78,570,5817,9043,40.6223139075125,45.0071878801283,1.34089736977824,6.30321795864204
"33","fn354xs7634%2F004_117_V_TC_46",3155,2185,215,223,4955,7606,63.6730575176589,28.7273205364186,4.33905146316852,2.93189587168025
"34","fn354xs7634%2F004_230_V_TC_46",3258,5118,280,288,5012,7748,65.0039904229848,66.0557563242127,5.58659217877095,3.71708828084667
"35","fn354xs7634%2F004_257_V_TC_46",245,7613,248,190,5050,7965,4.85148514851485,95.5806654111739,4.91089108910891,2.38543628374137
"36","fn354xs7634%2F004_257_V_TC_46",3163,533,280,390,5050,7965,62.6336633663366,6.691776522285,5.54455445544555,4.89642184557439
"37","fn354xs7634%2F004_257_V_TC_46",3233,3428,275,348,5050,7965,64.019801980198,43.038292529818,5.44554455445545,4.36911487758945
"38","fn354xs7634%2F004_259_R_TC_46",1043,2208,70,185,4672,7497,22.3244863013699,29.4517807122849,1.49828767123288,2.46765372815793
"39","fn354xs7634%2F004_259_R_TC_46",1775,2470,350,310,4672,7497,37.992294520548,32.9465119381086,7.49143835616438,4.13498732826464
"40","fn354xs7634%2F004_260_V_TC_46",2353,5005,410,260,5736,9062,41.0216178521618,55.2306334142573,7.14783821478382,2.86912381372765
"41","ty948rv7120%2F009_105_V_TC_46",1083,1845,295,690,6131,9015,17.664328820747,20.4658901830283,4.81161311368455,7.65391014975042
"42","ty948rv7120%2F009_11_R_TC_46",2675,3213,203,535,6371,9019,41.9871291790928,35.6247921055549,3.18631298069377,5.93192149905754
"43","ty948rv7120%2F009_12_V_TC_46",3578,1095,380,408,6180,8995,57.8964401294498,12.1734296831573,6.14886731391586,4.53585325180656
"44","ty948rv7120%2F009_146_V_TC_46",1130,7315,135,590,6258,8918,18.056887184404,82.0251177394035,2.15723873441994,6.61583314644539
"45","ty948rv7120%2F009_149_V_TC_46",3635,1210,555,565,6288,8971,57.808524173028,13.4879054731914,8.8263358778626,6.29807156392821
"46","ty948rv7120%2F009_155_V_TC_46",3560,4608,493,475,6281,8949,56.6788727909569,51.4917867918203,7.84906861964655,5.30785562632696
"47","ty948rv7120%2F009_18_R_TC_46",123,2400,180,513,6323,9031,1.9452791396489,26.5751301074078,2.84674996046181,5.68043406045842
"48","ty948rv7120%2F009_22_R_TC_46",2740,5478,223,565,6312,9030,43.4093789607098,60.6644518272425,3.53295310519645,6.25692137320044
"49","ty948rv7120%2F009_22_V_TC_46",1008,4095,465,350,6191,9006,16.2816992408335,45.4696868754164,7.51090292359877,3.88629802353986
"50","ty948rv7120%2F009_22_V_TC_46",1070,1603,608,350,6191,9006,17.28315296398,17.7992449478126,9.82070747859797,3.88629802353986
"51","ty948rv7120%2F009_23_V_TC_46",1033,1703,543,463,6071,8971,17.0153187283808,18.9833909263181,8.94416076428924,5.16107457362613
"52","ty948rv7120%2F009_24_R_TC_46",143,7263,340,375,6276,9006,2.27852135117909,80.6462358427715,5.41746335245379,4.163890739507
"53","ty948rv7120%2F009_27_R_TC_46",2703,6825,425,593,6264,9102,43.1513409961686,74.9835201054713,6.78480204342273,6.51505163700286
"54","ty948rv7120%2F009_31_V_TC_46",825,358,773,785,6048,9019,13.640873015873,3.96939793768711,12.7810846560847,8.70384743319658
"55","ty948rv7120%2F009_34_V_TC_46",705,2040,998,1408,6060,8983,11.6336633663366,22.7095625069576,16.4686468646865,15.6740509851943
"56","ty948rv7120%2F009_37_R_TC_46",2570,5363,563,585,6192,8983,41.5051679586563,59.7016586886341,9.09237726098191,6.5123010130246
"57","ty948rv7120%2F009_38_R_TC_46",2568,3878,435,728,6204,8911,41.3926499032882,43.5192458758837,7.01160541586073,8.16967792615868
"58","ty948rv7120%2F009_41_V_TC_46",1043,3198,230,593,6131,9007,17.0119067036373,35.5057177750638,3.75142717338118,6.58376818030421
"59","ty948rv7120%2F009_44_R_TC_46",2553,6448,455,505,6215,8946,41.0780370072405,72.0769058797228,7.32099758648431,5.64498099709367
"60","ty948rv7120%2F009_49_R_TC_46",2488,5408,390,408,6180,8959,40.2588996763754,60.36387989731,6.31067961165049,4.55407969639469
"61","ty948rv7120%2F009_50_V_TC_46",3395,4603,480,500,6047,9018,56.1435422523565,51.0423597249945,7.9378204068133,5.54446662231093
"62","ty948rv7120%2F009_51_R_TC_46",193,2408,445,533,6168,9007,3.12905317769131,26.734761851893,7.21465629053178,5.91761962917731
