"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_110_R_TC_46/1182,4547,510,70/pct:40/0/default.jpg",1182,4547,55,110 R,510,70,1,1,
"https://stacks.stanford.edu/image/iiif/bp218ym5464%2F308_111_TC_46/752,4595,2375,135/pct:40/0/default.jpg",752,4595,308,111,2375,135,1,2,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_182_V_TC_46/2367,6412,1147,182/pct:40/0/default.jpg",2367,6412,9,182 V,1147,182,,,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_356_R_TC_46/1195,6642,995,107/pct:40/0/default.jpg",1195,6642,10,356 R,995,107,,,
"https://stacks.stanford.edu/image/iiif/zm232zn2115%2F160_98_R_TC_46/1627,837,1245,145/pct:40/0/default.jpg",1627,837,160,98 R,1245,145,1,2,
"https://stacks.stanford.edu/image/iiif/ck580gj8781%2F231_013_V_TC_46/1060,1655,2217,152/pct:40/0/default.jpg",1060,1655,231,13 V,2217,152,1,3,
"https://stacks.stanford.edu/image/iiif/wp309nt7987%2F065_34_R_TC_46/1127,807,1372,167/pct:40/0/default.jpg",1127,807,65,34 R,1372,167,,,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_228_R_TC_46/1200,4070,200,72/pct:40/0/default.jpg",1200,4070,55,228 R,200,72,1,1,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_11_V_TC_46/1455,5095,3610,162/pct:40/0/default.jpg",1455,5095,269,11 V,3610,162,1,2,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_126_R_TC_46/2700,2022,307,87/pct:40/0/default.jpg",2700,2022,75,126 R,307,87,1,1,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_133_V_TC_46/1430,4845,1677,150/pct:40/0/default.jpg",1430,4845,92,133 V,1677,150,,,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_191_V_TC_46/4007,6772,1305,120/pct:40/0/default.jpg",4007,6772,10,191 V,1305,120,,,
"https://stacks.stanford.edu/image/iiif/sc624xj6187%2F356_064_V_TC_46/2030,4680,552,160/pct:40/0/default.jpg",2030,4680,356,64 V,552,160,,,
"https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_151_R_TC_46/225,2657,890,112/pct:40/0/default.jpg",225,2657,480,151 R,890,112,1,2,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_104_R_TC_46/4167,5840,387,122/pct:40/0/default.jpg",4167,5840,52,104 R,387,122,1,1,
"https://stacks.stanford.edu/image/iiif/my719tj3506%2F031_187_V_TC_46/3737,3362,527,137/pct:40/0/default.jpg",3737,3362,31,187 V,527,137,1,1,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_xvi_R_TC_46/3275,5945,1482,95/pct:40/0/default.jpg",3275,5945,22,xvi R,1482,95,1,2,
"https://stacks.stanford.edu/image/iiif/bp835wh7799%2F361_025_V_TC_46/417,5390,2950,207/pct:40/0/default.jpg",417,5390,361,25 V,2950,207,1,2,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_198_V_TC_46/3085,4780,467,80/pct:40/0/default.jpg",3085,4780,55,198 V,467,80,1,1,
