URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/gf842rx6366%2F459_093_V_TC_46/1025,4192,335,1197/pct:40/0/default.jpg",,,,,459,93 V,1025,4192,335,1197,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_220_V_TC_46/2255,2382,735,4015/pct:40/0/default.jpg",,,,,484,220 V,2255,2382,735,4015,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_101_R_TC_46/2192,3150,352,637/pct:40/0/default.jpg",,,,,92,101 R,2192,3150,352,637,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_116_V_TC_46/1610,2350,597,507/pct:40/0/default.jpg",,,,,75,116 V,1610,2350,597,507,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_040_V_TC_46/1510,4110,390,1227/pct:40/0/default.jpg",,,,,29,40 V,1510,4110,390,1227,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_037_R_TC_46/477,1782,305,422/pct:40/0/default.jpg",,,,,29,37 R,477,1782,305,422,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_263_R_TC_46/2152,1247,332,1372/pct:40/0/default.jpg",,,,,271,263 R,2152,1247,332,1372,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_346_V_TC_46/1647,1562,582,1937/pct:40/0/default.jpg",,,,,10,346 V,1647,1562,582,1937,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_173_V_TC_46/3402,4690,370,827/pct:40/0/default.jpg",,,,,271,173 V,3402,4690,370,827,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_222_V_TC_46/2725,462,582,347/pct:40/0/default.jpg",,,,,437,222 V,2725,462,582,347,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_039_V_TC_46/1035,2427,620,2400/pct:40/0/default.jpg",,,,,468,39 V,1035,2427,620,2400,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_119_V_TC_46/3025,2247,360,535/pct:40/0/default.jpg",,,,,437,119 V,3025,2247,360,535,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_060_V_TC_46/3352,6012,450,1240/pct:40/0/default.jpg",,,,,16II,60 V,3352,6012,450,1240,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_177_R_TC_46/1900,645,267,605/pct:40/0/default.jpg",,,,,327,177 R,1900,645,267,605,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_209_V_TC_46/1192,3137,345,585/pct:40/0/default.jpg",,,,,16II,209 V,1192,3137,345,585,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_163_R_TC_46/585,5292,567,937/pct:40/0/default.jpg",,,,,50,163 R,585,5292,567,937,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_181_V_TC_46/2087,3915,295,875/pct:40/0/default.jpg",,,,,327,181 V,2087,3915,295,875,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_450_R_TC_46/1845,1802,255,300/pct:40/0/default.jpg",,,,,463,450 R,1845,1802,255,300,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_273_R_TC_46/2,1525,680,675/pct:40/0/default.jpg",,,,,463,273 R,2,1525,680,675,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_422_R_TC_46/2417,4110,425,1352/pct:40/0/default.jpg",,,,,49,422 R,2417,4110,425,1352,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_083_TC_46/940,5515,292,525/pct:40/0/default.jpg",,,,,51,83,940,5515,292,525,
"https://stacks.stanford.edu/image/iiif/fs743fm9703%2F046_227_R_TC_46/162,860,355,775/pct:40/0/default.jpg",,,,,46,227 R,162,860,355,775,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_169_V_TC_46/3575,3657,372,345/pct:40/0/default.jpg",,,,,75,169 V,3575,3657,372,345,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_111_R_TC_46/802,3690,270,1472/pct:40/0/default.jpg",,,,,271,111 R,802,3690,270,1472,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_214_R_TC_46/77,380,317,435/pct:40/0/default.jpg",,,,,321,214 R,77,380,317,435,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_169_R_TC_46/2342,4792,667,2930/pct:40/0/default.jpg",,,,,50,169 R,2342,4792,667,2930,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_005_V_TC_46/3545,1420,732,560/pct:40/0/default.jpg",,,,,75,5 V,3545,1420,732,560,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_060_R_TC_46/2,5317,855,1115/pct:40/0/default.jpg",,,,,437,60 R,2,5317,855,1115,
"https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_005_V_TC_46/200,1910,462,545/pct:40/0/default.jpg",,,,,628,5 V,200,1910,462,545,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_213_V_TC_46/3530,1155,475,975/pct:40/0/default.jpg",,,,,49,213 V,3530,1155,475,975,
"https://stacks.stanford.edu/image/iiif/gn055tc5638%2F300_42_V_TC_46/1867,3192,612,852/pct:40/0/default.jpg",,,,,300,42 V,1867,3192,612,852,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_149_R_TC_46/2222,2670,252,1150/pct:40/0/default.jpg",,,,,271,149 R,2222,2670,252,1150,
"https://stacks.stanford.edu/image/iiif/nh671tc2872%2F066A_029_V_TC_46/572,1285,420,1440/pct:40/0/default.jpg",,,,,66A,29 V,572,1285,420,1440,
"https://stacks.stanford.edu/image/iiif/hv214nw9015%2F295_157_V_TC_46/1122,4977,737,590/pct:40/0/default.jpg",,,,,295,157 V,1122,4977,737,590,
"https://stacks.stanford.edu/image/iiif/vx000hq8392%2F275_40_R_TC_46/202,3480,400,880/pct:40/0/default.jpg",,,,,275,40 R,202,3480,400,880,
"https://stacks.stanford.edu/image/iiif/zh635rv2202%2F402_012_R_TC_46/205,417,370,1055/pct:40/0/default.jpg",,,,,402,12 R,205,417,370,1055,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_002_V_TC_46/3392,4550,270,1432/pct:40/0/default.jpg",,,,,271,2 V,3392,4550,270,1432,
"https://stacks.stanford.edu/image/iiif/jc891dg8213%2F252_125_R_TC_46/40,2792,1110,1342/pct:40/0/default.jpg",,,,,252,125 R,40,2792,1110,1342,
