"","DocID","x","y","w","h","image.width","image.height","perc.x","perc.y","perc.w","perc.h"
"1","zv088kx4487%2F003_075_V_TC_46",3273,63,1595,170,5048,7804,64.837559429477,0.807278318810866,31.5966719492868,2.1783700666325
"2","ty948rv7120%2F009_11_R_TC_46",2940,3215,1893,180,6371,9019,46.146601789358,35.6469675130281,29.7127609480458,1.99578667258011
"3","ty948rv7120%2F009_12_V_TC_46",3900,880,1898,180,6180,8995,63.1067961165049,9.78321289605336,30.7119741100324,2.00111172873819
"4","ty948rv7120%2F009_144_R_TC_46",545,8738,1775,250,6129,8987,8.89215206395823,97.229331256259,28.9606787404144,2.78179592745076
"5","ty948rv7120%2F009_144_R_TC_46",2720,8738,2018,250,6129,8987,44.3791809430576,97.229331256259,32.9254364496655,2.78179592745076
"6","ty948rv7120%2F009_149_V_TC_46",3833,1023,1910,173,6288,8971,60.95737913486,11.4034109909709,30.3753180661578,1.92843607178687
"7","ty948rv7120%2F009_27_V_TC_46",1393,3,2013,335,6156,9067,22.6283300844704,0.0330870188596007,32.6998050682261,3.69471710598875
"8","ty948rv7120%2F009_27_V_TC_46",3850,3,2160,335,6156,9067,62.5406107862248,0.0330870188596007,35.0877192982456,3.69471710598875
"9","ty948rv7120%2F009_30_R_TC_46",190,508,2133,178,6313,9103,3.0096626009821,5.58057783148413,33.7874227783938,1.95539931890586
"10","qk423pn9162%2F011_013_R_TC_46",290,3,1878,163,6064,8828,4.78232189973615,0.0339827820570911,30.9696569920844,1.84639782510195
"11","qk423pn9162%2F011_013_R_TC_46",2470,3,1983,163,6064,8828,40.7321899736148,0.0339827820570911,32.7011873350923,1.84639782510195
"12","qk423pn9162%2F011_017_R_TC_46",240,3,1900,305,5984,8805,4.01069518716578,0.0340715502555366,31.7513368983957,3.46394094264622
"13","qk423pn9162%2F011_017_R_TC_46",2415,3,1965,305,5984,8805,40.3576203208556,0.0340715502555366,32.8375668449198,3.46394094264622
"14","qk423pn9162%2F011_018_R_TC_46",245,8593,1840,193,5950,8783,4.11764705882353,97.8367300466811,30.9243697478992,2.19742684731868
"15","qk423pn9162%2F011_021_R_TC_46",178,3,1830,108,5890,8802,3.02207130730051,0.0340831629175187,31.0696095076401,1.22699386503067
"16","qk423pn9162%2F011_021_R_TC_46",2305,3,1980,108,5890,8802,39.1341256366723,0.0340831629175187,33.616298811545,1.22699386503067
"17","qk423pn9162%2F011_024_R_TC_46",155,8650,1810,140,5866,8790,2.64234572110467,98.4072810011377,30.8557790658029,1.59271899886234
"18","qk423pn9162%2F011_024_R_TC_46",2293,8650,1973,140,5866,8790,39.0896692806001,98.4072810011377,33.6345039209001,1.59271899886234
"19","qk423pn9162%2F011_024_V_TC_46",1643,3,1953,163,5928,8818,27.7159244264507,0.0340213200272171,32.9453441295547,1.84849172147879
"20","qk423pn9162%2F011_032_R_TC_46",150,3,1730,80,5830,8754,2.57289879931389,0.0342700479780672,29.6740994854202,0.913867946081791
"21","qk423pn9162%2F011_032_R_TC_46",2225,3,1940,80,5830,8754,38.1646655231561,0.0342700479780672,33.2761578044597,0.913867946081791
"22","qk423pn9162%2F011_036_R_TC_46",145,3,1780,140,5806,8730,2.49741646572511,0.0343642611683849,30.6579400620048,1.60366552119129
"23","qk423pn9162%2F011_036_R_TC_46",2215,3,1945,140,5806,8730,38.1501894591802,0.0343642611683849,33.4998277643817,1.60366552119129
"24","qk423pn9162%2F011_049_V_TC_46",1673,8590,1943,205,5806,8802,28.815018945918,97.591456487162,33.4653806407165,2.32901613269711
"25","qk423pn9162%2F011_049_V_TC_46",3930,8590,1763,205,5806,8802,67.6885980020668,97.591456487162,30.3651395108508,2.32901613269711
"26","qk423pn9162%2F011_057_R_TC_46",145,3,1780,153,5842,8814,2.48202670318384,0.0340367597004765,30.4690174597741,1.7358747447243
"27","qk423pn9162%2F011_057_R_TC_46",2220,3,1940,153,5842,8814,38.0006846970216,0.0340367597004765,33.2078055460459,1.7358747447243
"28","qk423pn9162%2F011_057_R_TC_46",145,8693,1780,123,5842,8814,2.48202670318384,98.6271840254141,30.4690174597741,1.39550714771954
"29","qk423pn9162%2F011_057_R_TC_46",2220,8693,1940,123,5842,8814,38.0006846970216,98.6271840254141,33.2078055460459,1.39550714771954
"30","qk423pn9162%2F011_058_V_TC_46",2625,3,943,120,5806,8814,45.2118498105408,0.0340367597004765,16.2418188081295,1.36147038801906
"31","qk423pn9162%2F011_058_V_TC_46",3900,3,1610,120,5806,8814,67.1718911470892,0.0340367597004765,27.729934550465,1.36147038801906
"32","qk423pn9162%2F011_060_R_TC_46",75,5,1633,90,5794,8790,1.29444252675181,0.0568828213879408,28.1843286158095,1.02389078498294
"33","qk423pn9162%2F011_064_R_TC_46",305,8665,1748,150,5962,8814,5.11573297551157,98.309507601543,29.3190204629319,1.70183798502383
"34","qk423pn9162%2F011_064_R_TC_46",2350,8665,1928,150,5962,8814,39.4163032539416,98.309507601543,32.3381415632338,1.70183798502383
"35","qk423pn9162%2F011_065_R_TC_46",2463,4105,1845,158,6010,8802,40.981697171381,46.6371279254715,30.6988352745424,1.79504658032265
"36","qk423pn9162%2F011_065_R_TC_46",2583,4268,1793,183,6010,8802,42.9783693843594,48.4889797773233,29.8336106489185,2.07907293796864
"37","qk423pn9162%2F011_066_R_TC_46",565,6165,1215,133,5782,8753,9.77170529228641,70.4329944019193,21.0134901418194,1.51947903575917
"38","qk423pn9162%2F011_066_R_TC_46",80,6303,1720,168,5782,8753,1.3836042891733,72.0095967096995,29.7474922172259,1.91934193990632
"39","qk423pn9162%2F011_066_V_TC_46",3935,5833,1728,160,5830,8778,67.4957118353345,66.4502164502164,29.6397941680961,1.82273866484393
"40","qk423pn9162%2F011_067_V_TC_46",2085,3,1475,123,5866,8778,35.5438117967951,0.0341763499658237,25.144902829867,1.40123034859877
