URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_067_V_TC_46/2085,3,1475,123/pct:40/0/default.jpg",011,067,V,2085,3,1475,123,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_067_V_TC_46/3925,3,973,123/pct:40/0/default.jpg",011,067,V,3925,3,973,123,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_069_V_TC_46/4610,6628,1045,223/pct:40/0/default.jpg",011,069,V,4610,6628,1045,223,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_070_R_TC_46/1355,605,578,163/pct:40/0/default.jpg",011,070,R,1355,605,578,163,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_073_V_TC_46/1650,8580,1935,245/pct:40/0/default.jpg",011,073,V,1650,8580,1935,245,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_076_R_TC_46/2365,8783,1863,45/pct:40/0/default.jpg",011,076,R,2365,8783,1863,45,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_083_R_TC_46/240,8,1775,143/pct:40/0/default.jpg",011,083,R,240,8,1775,143,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_083_R_TC_46/2340,8,1870,143/pct:40/0/default.jpg",011,083,R,2340,8,1870,143,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_083_V_TC_46/1988,5398,1610,170/pct:40/0/default.jpg",011,083,V,1988,5398,1610,170,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_083_V_TC_46/2508,8670,1090,120/pct:40/0/default.jpg",011,083,V,2508,8670,1090,120,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_083_V_TC_46/3888,8670,1608,120/pct:40/0/default.jpg",011,083,V,3888,8670,1608,120,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_086_R_TC_46/215,3,1688,103/pct:40/0/default.jpg",011,086,R,215,3,1688,103,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_086_R_TC_46/2220,3,1903,103/pct:40/0/default.jpg",011,086,R,2220,3,1903,103,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_099_V_TC_46/4763,655,785,178/pct:40/0/default.jpg",011,099,V,4763,655,785,178,
