URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_259_R_TC_46/1775,2470,350,310/pct:40/0/default.jpg",004,259,R,1775,2470,350,310,
"https://stacks.stanford.edu/image/iiif/fn354xs7634%2F004_260_V_TC_46/2353,5005,410,260/pct:40/0/default.jpg",004,260,V,2353,5005,410,260,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_105_V_TC_46/1083,1845,295,690/pct:40/0/default.jpg",009,105,V,1083,1845,295,690,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_11_R_TC_46/2675,3213,203,535/pct:40/0/default.jpg",009,11,R,2675,3213,203,535,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_12_V_TC_46/3578,1095,380,408/pct:40/0/default.jpg",009,12,V,3578,1095,380,408,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_146_V_TC_46/1130,7315,135,590/pct:40/0/default.jpg",009,146,V,1130,7315,135,590,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_149_V_TC_46/3635,1210,555,565/pct:40/0/default.jpg",009,149,V,3635,1210,555,565,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_155_V_TC_46/3560,4608,493,475/pct:40/0/default.jpg",009,155,V,3560,4608,493,475,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_18_R_TC_46/123,2400,180,513/pct:40/0/default.jpg",009,18,R,123,2400,180,513,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_22_R_TC_46/2740,5478,223,565/pct:40/0/default.jpg",009,22,R,2740,5478,223,565,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_22_V_TC_46/1008,4095,465,350/pct:40/0/default.jpg",009,22,V,1008,4095,465,350,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_22_V_TC_46/1070,1603,608,350/pct:40/0/default.jpg",009,22,V,1070,1603,608,350,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_23_V_TC_46/1033,1703,543,463/pct:40/0/default.jpg",009,23,V,1033,1703,543,463,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_24_R_TC_46/143,7263,340,375/pct:40/0/default.jpg",009,24,R,143,7263,340,375,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_27_R_TC_46/2703,6825,425,593/pct:40/0/default.jpg",009,27,R,2703,6825,425,593,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_31_V_TC_46/825,358,773,785/pct:40/0/default.jpg",009,31,V,825,358,773,785,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_34_V_TC_46/705,2040,998,1408/pct:40/0/default.jpg",009,34,V,705,2040,998,1408,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_37_R_TC_46/2570,5363,563,585/pct:40/0/default.jpg",009,37,R,2570,5363,563,585,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_38_R_TC_46/2568,3878,435,728/pct:40/0/default.jpg",009,38,R,2568,3878,435,728,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_41_V_TC_46/1043,3198,230,593/pct:40/0/default.jpg",009,41,V,1043,3198,230,593,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_44_R_TC_46/2553,6448,455,505/pct:40/0/default.jpg",009,44,R,2553,6448,455,505,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_49_R_TC_46/2488,5408,390,408/pct:40/0/default.jpg",009,49,R,2488,5408,390,408,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_50_V_TC_46/3395,4603,480,500/pct:40/0/default.jpg",009,50,V,3395,4603,480,500,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_51_R_TC_46/193,2408,445,533/pct:40/0/default.jpg",009,51,R,193,2408,445,533,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_54_R_TC_46/2483,4083,525,405/pct:40/0/default.jpg",009,54,R,2483,4083,525,405,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_54_V_TC_46/3533,2428,443,623/pct:40/0/default.jpg",009,54,V,3533,2428,443,623,
